# Program:featureCounts v2.0.6; Command:"featureCounts" "-a" "reference_genomes/bth/bth_genome.gtf" "-o" "feature_counts/bth_1110.txt" "sam/sam_11_09/275-1_bth.sorted.bam" "sam/sam_11_09/275-2_bth.sorted.bam" "sam/sam_11_09/275-3_bth.sorted.bam" "sam/sam_11_09/275-4_bth.sorted.bam" "sam/sam_11_09/275-5_bth.sorted.bam" "sam/sam_11_09/278-1_bth.sorted.bam" "sam/sam_11_09/278-2_bth.sorted.bam" "sam/sam_11_09/278-3_bth.sorted.bam" "sam/sam_11_09/278-4_bth.sorted.bam" "sam/sam_11_09/278-5_bth.sorted.bam" "-t" "transcript" "--extraAttributes" "gene_name" 
Geneid	Chr	Start	End	Strand	Length	gene_name	275-1_bth.sorted.bam	275-2_bth.sorted.bam	275-3_bth.sorted.bam	275-4_bth.sorted.bam	275-5_bth.sorted.bam	278-1_bth.sorted.bam	278-2_bth.sorted.bam	278-3_bth.sorted.bam	278-4_bth.sorted.bam	278-5_bth.sorted.bam
gene-FE838_RS11240	NZ_CP040530.1	3028589	3030388	+	1800	rpsA	24687	2799	1729	4648	2231	887	1905	1212	4675	2182
gene-FE838_RS11245	NZ_CP040530.1	3030493	3031443	+	951	NA	214	43	15	55	62	30	33	8	59	49
gene-FE838_RS11250	NZ_CP040530.1	3031430	3031981	+	552	NA	143	31	17	56	67	17	21	8	46	51
gene-FE838_RS11255	NZ_CP040530.1	3032029	3032415	+	387	NA	135	300	355	476	292	19	42	5	61	100
gene-FE838_RS11260	NZ_CP040530.1	3032441	3032908	+	468	NA	268	450	957	1747	1837	46	57	12	113	207
gene-FE838_RS11265	NZ_CP040530.1	3033107	3033895	-	789	mazG	668	172	163	332	290	66	75	19	181	132
gene-FE838_RS11270	NZ_CP040530.1	3034000	3035067	-	1068	NA	120	23	28	59	65	15	26	5	70	45
gene-FE838_RS11275	NZ_CP040530.1	3035159	3035797	+	639	NA	159	49	13	51	51	20	31	12	32	47
gene-FE838_RS11280	NZ_CP040530.1	3035862	3038501	+	2640	NA	2122	352	185	485	409	101	291	153	531	299
gene-FE838_RS11285	NZ_CP040530.1	3038618	3040513	+	1896	NA	49	3	0	6	6	7	5	1	20	7
gene-FE838_RS11290	NZ_CP040530.1	3040903	3041478	-	576	NA	70	9	8	22	38	14	25	2	17	15
gene-FE838_RS11295	NZ_CP040530.1	3041609	3042637	+	1029	NA	753	200	111	266	307	42	93	41	93	189
gene-FE838_RS11300	NZ_CP040530.1	3042876	3046334	+	3459	NA	656	619	307	388	995	99	180	104	107	335
gene-FE838_RS11305	NZ_CP040530.1	3046348	3048255	+	1908	NA	431	325	154	236	514	63	82	54	68	177
gene-FE838_RS11310	NZ_CP040530.1	3048515	3050725	+	2211	NA	163	258	142	240	424	18	45	6	88	116
gene-FE838_RS11315	NZ_CP040530.1	3051177	3051623	-	447	NA	767	243	233	411	414	136	198	24	181	397
gene-FE838_RS11320	NZ_CP040530.1	3051685	3052794	-	1110	NA	263	187	197	232	408	62	124	6	193	268
gene-FE838_RS11325	NZ_CP040530.1	3052916	3056236	-	3321	secA	3268	756	497	821	755	178	435	185	798	553
gene-FE838_RS11330	NZ_CP040530.1	3056367	3057941	-	1575	NA	679	80	58	195	133	76	110	35	201	124
gene-FE838_RS11335	NZ_CP040530.1	3057941	3059128	-	1188	NA	156	25	20	41	38	9	17	11	46	18
gene-FE838_RS11340	NZ_CP040530.1	3059571	3060302	+	732	NA	497	40	13	71	46	30	42	25	119	66
gene-FE838_RS11345	NZ_CP040530.1	3060289	3061584	+	1296	NA	1554	371	298	735	702	243	342	79	628	617
gene-FE838_RS11350	NZ_CP040530.1	3061640	3062965	+	1326	NA	3342	1384	1611	2633	2800	435	851	232	1486	1255
gene-FE838_RS11355	NZ_CP040530.1	3062971	3063624	+	654	lptC	410	164	89	140	128	45	69	25	137	94
gene-FE838_RS11360	NZ_CP040530.1	3063628	3064884	+	1257	NA	750	220	81	189	184	57	113	37	230	142
gene-FE838_RS11365	NZ_CP040530.1	3065004	3067142	+	2139	NA	7484	1234	771	1690	1437	360	850	396	2081	1169
gene-FE838_RS11370	NZ_CP040530.1	3067284	3068318	+	1035	rlmN	1637	357	233	707	615	214	342	100	506	642
gene-FE838_RS11375	NZ_CP040530.1	3068336	3069373	+	1038	NA	700	267	333	494	489	163	280	25	276	385
gene-FE838_RS11380	NZ_CP040530.1	3069378	3070472	+	1095	pdxA	1726	629	528	1000	951	264	486	90	644	636
gene-FE838_RS11385	NZ_CP040530.1	3070596	3071837	+	1242	NA	1057	270	192	465	417	81	167	62	292	216
gene-FE838_RS11390	NZ_CP040530.1	3071824	3072351	+	528	lptE	270	68	46	105	82	28	42	25	99	69
gene-FE838_RS11395	NZ_CP040530.1	3072356	3073150	+	795	NA	213	50	20	48	48	13	24	13	79	36
gene-FE838_RS11400	NZ_CP040530.1	3073157	3073552	+	396	secG	2226	315	218	778	748	139	282	97	446	381
gene-FE838_RS11405	NZ_CP040530.1	3073843	3075231	+	1389	NA	990	146	95	247	220	57	99	42	198	149
gene-FE838_RS11410	NZ_CP040530.1	3075276	3075623	+	348	NA	31	10	1	12	18	4	8	1	8	3
gene-FE838_RS11415	NZ_CP040530.1	3075613	3075900	-	288	NA	91	52	34	62	81	14	20	3	31	42
gene-FE838_RS11420	NZ_CP040530.1	3075922	3076986	-	1065	NA	447	237	174	252	347	55	102	23	144	195
gene-FE838_RS11425	NZ_CP040530.1	3077060	3078571	-	1512	NA	206	59	46	94	81	26	46	15	85	61
gene-FE838_RS11430	NZ_CP040530.1	3079233	3079457	+	225	NA	21	32	17	42	152	12	31	4	14	84
gene-FE838_RS11435	NZ_CP040530.1	3079651	3081195	+	1545	NA	439	40	23	77	64	18	28	17	78	39
gene-FE838_RS11440	NZ_CP040530.1	3081237	3081773	+	537	hpt	237	37	22	51	38	31	44	23	79	66
gene-FE838_RS11445	NZ_CP040530.1	3081807	3082376	+	570	NA	539	64	47	119	89	38	69	36	172	80
gene-FE838_RS11450	NZ_CP040530.1	3082389	3083555	+	1167	obgE	1722	231	119	338	214	82	181	130	410	171
gene-FE838_RS11455	NZ_CP040530.1	3083552	3084364	+	813	pgeF	258	39	17	57	33	17	34	30	79	34
gene-FE838_RS11460	NZ_CP040530.1	3084448	3085113	+	666	NA	142	31	8	18	10	4	15	13	43	25
gene-FE838_RS11465	NZ_CP040530.1	3085129	3085767	+	639	NA	133	24	13	24	25	10	20	8	43	24
gene-FE838_RS11470	NZ_CP040530.1	3085983	3087305	-	1323	NA	386	152	103	310	407	54	63	14	81	124
gene-FE838_RS11475	NZ_CP040530.1	3087501	3089141	-	1641	NA	100	126	81	139	205	41	62	10	85	93
gene-FE838_RS11480	NZ_CP040530.1	3089347	3091560	+	2214	NA	479	293	215	357	473	87	191	45	250	189
gene-FE838_RS11485	NZ_CP040530.1	3091655	3092542	-	888	NA	28	20	13	18	26	3	6	6	17	17
gene-FE838_RS11490	NZ_CP040530.1	3092705	3094087	+	1383	NA	38	22	9	21	10	0	0	0	1	2
gene-FE838_RS11495	NZ_CP040530.1	3094109	3097390	+	3282	NA	101	114	65	104	93	10	9	2	24	22
gene-FE838_RS11500	NZ_CP040530.1	3097463	3098614	-	1152	NA	261	64	46	105	94	28	78	10	85	92
gene-FE838_RS11505	NZ_CP040530.1	3098812	3099252	-	441	NA	101	23	19	45	40	12	20	8	38	35
gene-FE838_RS11510	NZ_CP040530.1	3099574	3099970	+	397	ssrA	293311	1063332	419054	1048445	944450	342591	133116	18884	83030	214260
gene-FE838_RS11515	NZ_CP040530.1	3100285	3100836	+	552	NA	34	13	13	13	51	12	20	2	17	15
gene-FE838_RS11520	NZ_CP040530.1	3100883	3101869	+	987	NA	314	209	135	221	445	86	98	7	80	173
gene-FE838_RS11525	NZ_CP040530.1	3102037	3105357	+	3321	NA	359	851	625	1065	1295	121	240	11	129	389
gene-FE838_RS11530	NZ_CP040530.1	3105365	3106993	+	1629	NA	103	459	305	537	584	49	125	10	58	178
gene-FE838_RS11535	NZ_CP040530.1	3107006	3108163	+	1158	NA	78	254	217	375	401	33	87	9	39	106
gene-FE838_RS11540	NZ_CP040530.1	3108160	3109335	+	1176	NA	129	343	245	421	503	50	106	4	50	146
gene-FE838_RS11545	NZ_CP040530.1	3109471	3110862	-	1392	NA	97	69	54	72	127	10	20	2	33	32
gene-FE838_RS11550	NZ_CP040530.1	3111075	3112166	+	1092	dinB	124	16	10	45	33	8	20	5	24	33
gene-FE838_RS11555	NZ_CP040530.1	3112462	3114396	+	1935	NA	108	29	18	33	45	11	23	9	22	25
gene-FE838_RS11560	NZ_CP040530.1	3114455	3115156	+	702	NA	86	29	28	33	40	10	12	8	18	16
gene-FE838_RS11565	NZ_CP040530.1	3115222	3115359	-	138	NA	1070	63	43	72	87	55	31	7	125	62
gene-FE838_RS11570	NZ_CP040530.1	3115685	3118402	+	2718	NA	587	337	273	451	512	58	106	22	139	152
gene-FE838_RS11575	NZ_CP040530.1	3118486	3118923	+	438	NA	91	11	18	48	98	18	31	3	51	39
gene-FE838_RS11580	NZ_CP040530.1	3119264	3119695	+	432	NA	5	3	4	7	0	6	3	0	2	2
gene-FE838_RS11585	NZ_CP040530.1	3119710	3120924	+	1215	NA	97	21	14	38	46	18	19	2	34	26
gene-FE838_RS11590	NZ_CP040530.1	3120971	3121720	-	750	NA	402	40	32	81	76	17	47	16	82	66
gene-FE838_RS11595	NZ_CP040530.1	3121843	3123378	-	1536	rny	3877	776	589	1031	1029	243	756	307	1323	1178
gene-FE838_RS11600	NZ_CP040530.1	3123495	3123785	-	291	NA	844	216	137	362	700	172	261	22	277	525
gene-FE838_RS11605	NZ_CP040530.1	3123799	3124092	-	294	NA	585	100	77	234	320	77	200	24	198	305
gene-FE838_RS11610	NZ_CP040530.1	3124911	3125999	+	1089	NA	47	43	31	45	59	2	5	1	10	11
gene-FE838_RS11615	NZ_CP040530.1	3126056	3126427	+	372	NA	13	12	6	13	18	1	2	0	6	7
gene-FE838_RS11620	NZ_CP040530.1	3126441	3126920	+	480	NA	22	28	5	14	23	3	3	0	2	3
gene-FE838_RS11625	NZ_CP040530.1	3126949	3128466	+	1518	xylB	73	55	23	41	71	1	5	1	18	10
gene-FE838_RS11630	NZ_CP040530.1	3128476	3129525	+	1050	NA	47	35	10	34	41	1	2	0	10	4
gene-FE838_RS11635	NZ_CP040530.1	3129565	3130281	+	717	deoC	34	28	16	43	47	2	3	2	7	11
gene-FE838_RS11640	NZ_CP040530.1	3130326	3132860	+	2535	NA	135	140	64	89	148	10	10	4	22	28
gene-FE838_RS11645	NZ_CP040530.1	3132860	3134659	+	1800	NA	162	90	47	137	158	8	16	3	26	37
gene-FE838_RS11650	NZ_CP040530.1	3134696	3135586	+	891	NA	51	45	19	41	70	5	3	0	10	8
gene-FE838_RS11655	NZ_CP040530.1	3135627	3136772	+	1146	NA	113	69	29	104	143	5	4	1	12	12
gene-FE838_RS11660	NZ_CP040530.1	3136786	3139221	+	2436	ccsA	80	80	31	59	89	3	20	0	19	26
gene-FE838_RS11665	NZ_CP040530.1	3139417	3141216	-	1800	NA	46	2	2	2	2	1	2	4	10	9
gene-FE838_RS11670	NZ_CP040530.1	3141221	3141634	-	414	NA	143	1	5	10	6	7	9	5	27	10
gene-FE838_RS11675	NZ_CP040530.1	3142329	3142778	+	450	NA	0	0	0	0	1	0	1	0	0	0
gene-FE838_RS11680	NZ_CP040530.1	3142950	3143411	+	462	NA	15	8	6	6	5	0	3	0	4	3
gene-FE838_RS11685	NZ_CP040530.1	3143472	3144179	+	708	NA	0	0	1	0	1	0	1	0	0	0
gene-FE838_RS11690	NZ_CP040530.1	3144338	3145042	+	705	NA	329	63	33	54	76	52	65	7	89	89
gene-FE838_RS11695	NZ_CP040530.1	3145170	3146384	-	1215	NA	43	6	4	7	5	4	3	2	14	14
gene-FE838_RS11700	NZ_CP040530.1	3146395	3147690	+	1296	NA	2	0	0	1	1	0	0	0	0	0
gene-FE838_RS11705	NZ_CP040530.1	3147717	3147989	+	273	NA	0	0	0	0	0	0	0	0	0	0
gene-FE838_RS11710	NZ_CP040530.1	3147991	3154542	+	6552	NA	29	8	0	7	18	5	7	2	3	6
gene-FE838_RS11715	NZ_CP040530.1	3154559	3155149	-	591	NA	2	1	0	0	0	0	0	0	0	0
gene-FE838_RS11720	NZ_CP040530.1	3155193	3155423	+	231	NA	1	0	0	0	1	0	0	0	0	0
gene-FE838_RS11725	NZ_CP040530.1	3155512	3155862	+	351	NA	1	0	0	1	0	0	0	0	1	0
gene-FE838_RS11730	NZ_CP040530.1	3155882	3156472	+	591	NA	4	2	2	2	0	0	0	0	1	1
gene-FE838_RS11735	NZ_CP040530.1	3157076	3158791	+	1716	NA	410	151	173	272	285	68	123	18	174	200
gene-FE838_RS11740	NZ_CP040530.1	3158865	3159740	-	876	NA	53	51	53	63	89	8	7	2	22	18
gene-FE838_RS11745	NZ_CP040530.1	3159752	3160624	-	873	NA	72	213	157	85	204	7	17	0	15	23
gene-FE838_RS11750	NZ_CP040530.1	3160662	3162137	-	1476	NA	264	1183	713	642	1121	23	29	8	74	94
gene-FE838_RS11755	NZ_CP040530.1	3162195	3163262	-	1068	NA	22	15	10	19	34	1	1	1	4	6
gene-FE838_RS11760	NZ_CP040530.1	3163284	3164519	-	1236	NA	14	8	13	5	25	1	1	0	2	2
gene-FE838_RS11765	NZ_CP040530.1	3164669	3165235	+	567	NA	103	28	40	52	45	15	28	11	37	38
gene-FE838_RS11770	NZ_CP040530.1	3165205	3165564	-	360	NA	49	16	12	23	24	6	14	6	15	18
gene-FE838_RS11775	NZ_CP040530.1	3165693	3166067	+	375	NA	427	35	42	66	62	15	34	8	43	65
gene-FE838_RS11780	NZ_CP040530.1	3166097	3166642	+	546	NA	427	58	34	121	181	45	79	10	59	77
gene-FE838_RS11785	NZ_CP040530.1	3166699	3167439	+	741	NA	485	147	112	222	275	159	184	19	91	169
gene-FE838_RS11790	NZ_CP040530.1	3167436	3168821	+	1386	NA	823	284	204	336	373	180	259	29	163	288
gene-FE838_RS11795	NZ_CP040530.1	3168818	3169399	+	582	NA	295	112	60	113	135	70	88	7	39	82
gene-FE838_RS11800	NZ_CP040530.1	3169603	3170475	+	873	NA	426	92	77	151	133	79	136	11	81	91
gene-FE838_RS11805	NZ_CP040530.1	3170556	3171728	+	1173	NA	857	342	212	494	451	98	109	27	167	162
gene-FE838_RS11810	NZ_CP040530.1	3171976	3173325	-	1350	NA	86	19	14	22	25	6	6	1	28	12
gene-FE838_RS11815	NZ_CP040530.1	3173322	3173894	-	573	NA	38	8	4	8	7	1	2	3	5	2
gene-FE838_RS11820	NZ_CP040530.1	3173900	3174553	-	654	NA	48	3	2	12	5	5	1	1	12	10
gene-FE838_RS11825	NZ_CP040530.1	3174579	3175535	-	957	NA	78	14	3	10	19	4	0	5	30	10
gene-FE838_RS11830	NZ_CP040530.1	3175532	3176185	-	654	NA	83	13	10	23	27	6	7	4	23	15
gene-FE838_RS11835	NZ_CP040530.1	3176376	3178241	+	1866	NA	10	296	322	152	100	8	12	4	87	70
gene-FE838_RS11840	NZ_CP040530.1	3178624	3179058	+	435	NA	73	93	114	154	227	36	39	6	46	104
gene-FE838_RS11845	NZ_CP040530.1	3179161	3179233	-	73	NA	27	20	16	23	41	0	3	1	2	4
gene-FE838_RS11850	NZ_CP040530.1	3179299	3179652	-	354	NA	129	63	75	112	118	34	39	5	50	59
gene-FE838_RS11855	NZ_CP040530.1	3179707	3180291	-	585	NA	256	114	85	214	235	32	71	5	71	97
gene-FE838_RS11860	NZ_CP040530.1	3180416	3183523	+	3108	NA	662	103	58	136	166	28	86	18	129	88
gene-FE838_RS11865	NZ_CP040530.1	3183541	3185136	+	1596	NA	283	35	23	38	58	7	14	5	49	46
gene-FE838_RS11870	NZ_CP040530.1	3185209	3185916	+	708	NA	93	8	4	10	9	2	14	7	17	9
gene-FE838_RS11875	NZ_CP040530.1	3185975	3187285	+	1311	NA	263	23	6	43	45	6	23	12	45	23
gene-FE838_RS11880	NZ_CP040530.1	3187362	3189518	-	2157	NA	571	562	301	518	870	75	175	30	244	361
gene-FE838_RS11885	NZ_CP040530.1	3189853	3190485	-	633	NA	379	44	35	70	63	35	58	20	97	72
gene-FE838_RS11890	NZ_CP040530.1	3190574	3191962	-	1389	NA	231	49	30	76	66	36	48	11	79	71
gene-FE838_RS11895	NZ_CP040530.1	3191997	3192644	-	648	NA	116	21	20	40	33	16	24	5	71	47
gene-FE838_RS11900	NZ_CP040530.1	3192792	3192968	+	177	NA	3139	670	710	1286	1309	772	886	211	1616	1159
gene-FE838_RS11905	NZ_CP040530.1	3193810	3194748	+	939	NA	158	16	16	30	39	26	20	6	21	27
gene-FE838_RS11910	NZ_CP040530.1	3195242	3198862	+	3621	NA	222	132	57	182	151	389	709	313	1556	1801
gene-FE838_RS11915	NZ_CP040530.1	3198996	3200087	+	1092	NA	135	23	14	41	30	47	73	8	69	111
gene-FE838_RS11920	NZ_CP040530.1	3200483	3201751	+	1269	NA	344	82	42	89	108	23	60	7	89	99
gene-FE838_RS11925	NZ_CP040530.1	3201784	3202557	+	774	NA	66	29	20	27	31	9	18	2	23	22
gene-FE838_RS11930	NZ_CP040530.1	3202560	3203230	-	671	NA	54	48	46	51	95	17	37	0	36	50
gene-FE838_RS11935	NZ_CP040530.1	3203418	3203783	+	366	NA	66	15	7	30	31	7	14	1	20	16
gene-FE838_RS11940	NZ_CP040530.1	3203817	3204695	-	879	NA	236	57	18	77	71	36	63	8	67	52
gene-FE838_RS11945	NZ_CP040530.1	3204779	3205759	-	981	NA	200	62	29	88	84	25	50	2	42	54
gene-FE838_RS11950	NZ_CP040530.1	3205792	3206631	-	840	NA	213	76	78	113	155	26	53	4	61	89
gene-FE838_RS11955	NZ_CP040530.1	3207017	3208615	-	1599	NA	3	0	1	3	2	4	1	0	2	1
gene-FE838_RS11960	NZ_CP040530.1	3208653	3209225	-	573	NA	0	0	1	0	1	0	0	0	0	1
gene-FE838_RS11965	NZ_CP040530.1	3209241	3209627	-	387	NA	1	0	0	0	1	0	2	1	0	0
gene-FE838_RS11970	NZ_CP040530.1	3209757	3211493	-	1737	NA	58	2	3	7	23	12	9	3	30	14
gene-FE838_RS11975	NZ_CP040530.1	3211589	3212902	+	1314	NA	512	194	131	426	340	188	275	10	99	240
gene-FE838_RS11980	NZ_CP040530.1	3212913	3213185	+	273	NA	365	284	159	845	1137	180	271	24	91	294
gene-FE838_RS11985	NZ_CP040530.1	3213317	3213586	-	270	NA	502	254	264	293	419	98	116	10	109	145
gene-FE838_RS11990	NZ_CP040530.1	3213687	3214418	-	732	NA	317	46	40	82	98	18	45	10	63	77
gene-FE838_RS11995	NZ_CP040530.1	3214490	3214795	-	306	NA	26	5	5	10	7	3	4	2	12	8
gene-FE838_RS12000	NZ_CP040530.1	3214881	3215126	+	246	NA	61	6	3	13	29	10	12	1	17	15
gene-FE838_RS12005	NZ_CP040530.1	3215244	3216602	+	1359	NA	469	56	36	105	71	23	29	16	102	30
gene-FE838_RS12010	NZ_CP040530.1	3216675	3217652	-	978	NA	460	96	152	320	170	129	153	14	59	78
gene-FE838_RS12015	NZ_CP040530.1	3217734	3219383	-	1650	NA	140	27	33	36	37	8	21	5	25	27
gene-FE838_RS12020	NZ_CP040530.1	3219484	3220014	+	531	NA	49	26	14	37	44	8	17	6	15	36
gene-FE838_RS12025	NZ_CP040530.1	3220121	3220585	+	465	NA	561	151	126	217	240	91	148	39	250	225
gene-FE838_RS12030	NZ_CP040530.1	3220801	3221475	+	675	NA	118	26	23	37	47	36	36	1	21	35
gene-FE838_RS12035	NZ_CP040530.1	3221470	3222012	-	543	NA	114	17	12	33	31	8	17	4	40	23
gene-FE838_RS12040	NZ_CP040530.1	3222034	3223410	-	1377	NA	607	142	69	142	169	28	58	18	159	88
gene-FE838_RS12045	NZ_CP040530.1	3223444	3224325	-	882	bla	288	42	28	62	71	19	33	6	77	60
gene-FE838_RS12050	NZ_CP040530.1	3224476	3225702	+	1227	NA	400	141	116	206	215	72	110	21	126	169
gene-FE838_RS12055	NZ_CP040530.1	3225877	3226770	+	894	NA	218	66	54	106	132	52	72	9	82	106
gene-FE838_RS12060	NZ_CP040530.1	3227352	3229442	+	2091	NA	140	15	8	30	31	8	22	7	51	29
gene-FE838_RS12065	NZ_CP040530.1	3229578	3230012	-	435	NA	35	9	6	16	17	8	6	2	14	17
gene-FE838_RS12070	NZ_CP040530.1	3230190	3231242	+	1053	NA	199	51	50	81	71	4	38	9	37	56
gene-FE838_RS12075	NZ_CP040530.1	3231247	3232047	+	801	NA	162	40	30	58	79	10	18	6	38	34
gene-FE838_RS12080	NZ_CP040530.1	3232066	3232884	-	819	NA	104	17	13	33	50	9	18	2	38	25
gene-FE838_RS12085	NZ_CP040530.1	3233541	3233744	+	204	NA	119	10	12	33	44	20	20	2	26	37
gene-FE838_RS12090	NZ_CP040530.1	3233812	3235551	+	1740	NA	447	79	95	182	192	73	125	17	108	170
gene-FE838_RS12095	NZ_CP040530.1	3235618	3238323	+	2706	NA	1063	232	164	395	416	122	234	42	274	339
gene-FE838_RS12100	NZ_CP040530.1	3238327	3239745	+	1419	NA	550	136	97	183	173	45	78	23	111	147
gene-FE838_RS12105	NZ_CP040530.1	3239749	3240879	+	1131	NA	390	89	63	128	121	22	73	5	104	98
gene-FE838_RS12110	NZ_CP040530.1	3240925	3242352	+	1428	NA	181	55	51	68	79	22	40	10	62	57
gene-FE838_RS12115	NZ_CP040530.1	3242382	3243185	-	804	NA	25	11	5	21	35	1	4	1	7	10
gene-FE838_RS12120	NZ_CP040530.1	3243192	3243719	+	528	NA	21	9	13	11	22	1	6	0	5	11
gene-FE838_RS12125	NZ_CP040530.1	3243714	3244895	-	1182	NA	111	20	25	43	61	10	33	5	24	30
gene-FE838_RS12130	NZ_CP040530.1	3244867	3245172	-	306	NA	1	0	0	0	0	1	0	0	2	0
gene-FE838_RS12135	NZ_CP040530.1	3246013	3246780	-	768	NA	101	13	6	34	40	5	8	2	10	11
gene-FE838_RS12140	NZ_CP040530.1	3246796	3247338	-	543	NA	15	3	2	7	7	1	4	3	7	1
gene-FE838_RS12145	NZ_CP040530.1	3247354	3247938	-	585	NA	56	3	9	10	10	3	6	5	6	13
gene-FE838_RS12150	NZ_CP040530.1	3248443	3248649	+	207	NA	55	11	16	28	42	14	17	0	22	20
gene-FE838_RS12155	NZ_CP040530.1	3248655	3250076	+	1422	NA	736	212	165	394	305	85	137	31	180	267
gene-FE838_RS12160	NZ_CP040530.1	3250160	3251278	+	1119	NA	65	21	20	35	61	34	32	4	16	35
gene-FE838_RS12165	NZ_CP040530.1	3251347	3251664	+	318	NA	20	6	7	18	30	7	9	0	7	21
gene-FE838_RS12170	NZ_CP040530.1	3251670	3253493	+	1824	NA	185	35	36	88	142	56	75	21	81	95
gene-FE838_RS12175	NZ_CP040530.1	3253635	3253919	+	285	NA	96	17	9	26	22	11	9	1	17	16
gene-FE838_RS12180	NZ_CP040530.1	3253940	3256768	+	2829	NA	908	200	149	321	301	78	128	32	209	241
gene-FE838_RS12185	NZ_CP040530.1	3256771	3257694	+	924	NA	122	30	27	45	36	21	36	6	38	28
gene-FE838_RS12190	NZ_CP040530.1	3257699	3259402	+	1704	NA	164	45	54	85	166	45	72	10	63	72
gene-FE838_RS12195	NZ_CP040530.1	3259419	3260972	+	1554	NA	651	147	99	187	231	45	100	39	131	138
gene-FE838_RS12200	NZ_CP040530.1	3260991	3262406	+	1416	NA	447	76	47	116	99	28	48	25	130	91
gene-FE838_RS12205	NZ_CP040530.1	3262412	3263659	+	1248	NA	72	13	14	35	29	26	25	5	16	12
gene-FE838_RS12210	NZ_CP040530.1	3263652	3264194	-	543	NA	6	0	1	3	4	4	1	1	3	3
gene-FE838_RS12220	NZ_CP040530.1	3264737	3265918	-	1182	NA	236	56	46	104	105	25	41	14	72	71
gene-FE838_RS12225	NZ_CP040530.1	3265962	3266888	+	927	NA	0	0	1	1	1	0	1	0	0	0
gene-FE838_RS12230	NZ_CP040530.1	3267880	3268953	-	1074	NA	1	0	0	0	1	0	0	0	0	1
gene-FE838_RS12235	NZ_CP040530.1	3268956	3269330	-	375	NA	1	0	0	0	0	0	0	1	0	0
gene-FE838_RS12240	NZ_CP040530.1	3269431	3270183	-	753	NA	5	0	0	0	0	0	0	0	2	1
gene-FE838_RS12245	NZ_CP040530.1	3270350	3271468	-	1119	NA	1	0	1	0	4	1	0	1	0	0
gene-FE838_RS12250	NZ_CP040530.1	3271577	3273037	-	1461	NA	9	3	1	2	7	3	6	0	1	2
gene-FE838_RS12255	NZ_CP040530.1	3273344	3274741	-	1398	mnmE	614	115	77	155	169	62	118	23	226	208
gene-FE838_RS12260	NZ_CP040530.1	3274874	3276781	+	1908	NA	124	17	6	13	23	16	15	13	63	31
gene-FE838_RS12265	NZ_CP040530.1	3276863	3277522	+	660	NA	471	253	302	485	532	260	325	8	90	282
gene-FE838_RS12270	NZ_CP040530.1	3277593	3278471	-	879	NA	531	257	276	385	542	124	211	20	175	276
gene-FE838_RS12275	NZ_CP040530.1	3278634	3279635	-	1002	floA	1320	673	450	663	1000	134	272	51	451	523
gene-FE838_RS12280	NZ_CP040530.1	3279659	3280129	-	471	NA	247	76	88	129	150	33	39	10	71	109
gene-FE838_RS12285	NZ_CP040530.1	3280139	3281566	-	1428	NA	602	207	175	294	359	72	130	7	203	210
gene-FE838_RS12290	NZ_CP040530.1	3281706	3282452	+	747	NA	80	4	3	9	3	4	10	8	29	16
gene-FE838_RS12295	NZ_CP040530.1	3282480	3282851	+	372	NA	28	3	2	6	0	2	1	6	11	7
gene-FE838_RS12300	NZ_CP040530.1	3282977	3283993	-	1017	NA	168	19	14	34	21	7	27	14	98	51
gene-FE838_RS12305	NZ_CP040530.1	3284033	3284614	-	582	NA	79	15	7	12	10	2	11	3	37	13
gene-FE838_RS12310	NZ_CP040530.1	3284621	3285415	-	795	NA	213	51	18	63	68	25	34	12	102	74
gene-FE838_RS12315	NZ_CP040530.1	3285351	3285902	-	552	NA	58	15	12	20	34	8	11	0	45	23
gene-FE838_RS12320	NZ_CP040530.1	3285923	3286873	-	951	NA	322	69	42	117	118	54	67	23	170	151
gene-FE838_RS12325	NZ_CP040530.1	3286897	3287448	-	552	NA	171	21	22	53	32	19	23	6	66	38
gene-FE838_RS12330	NZ_CP040530.1	3287763	3287836	+	74	NA	1245	335	71	513	301	69	120	156	230	173
gene-FE838_RS12335	NZ_CP040530.1	3287905	3288609	-	705	NA	18	2	4	9	8	3	4	2	9	5
gene-FE838_RS12340	NZ_CP040530.1	3288611	3289651	-	1041	NA	7	4	0	7	11	4	10	0	8	8
gene-FE838_RS12345	NZ_CP040530.1	3289676	3292111	-	2436	NA	17	3	3	5	13	4	3	1	20	25
gene-FE838_RS12350	NZ_CP040530.1	3292301	3293386	-	1086	NA	33	13	20	28	33	26	20	8	46	64
gene-FE838_RS12355	NZ_CP040530.1	3293394	3293801	-	408	NA	7	4	4	13	8	2	4	0	20	20
gene-FE838_RS12360	NZ_CP040530.1	3293798	3294361	-	564	NA	16	10	12	12	26	23	17	3	36	61
gene-FE838_RS12365	NZ_CP040530.1	3294490	3295770	-	1281	eno	2259	1236	977	1571	2587	929	2550	75	2379	2288
gene-FE838_RS12370	NZ_CP040530.1	3295950	3296612	-	663	NA	44	16	11	19	17	5	26	4	30	20
gene-FE838_RS12375	NZ_CP040530.1	3296633	3297007	-	375	crcB	50	13	8	16	16	10	11	3	29	12
gene-FE838_RS12380	NZ_CP040530.1	3297115	3297891	-	777	NA	60	21	5	29	36	7	10	3	24	14
gene-FE838_RS12385	NZ_CP040530.1	3297903	3298739	-	837	NA	72	19	9	27	34	9	28	5	40	28
